ID,HSA,State,Latitude,Longitude,Elevation
ABOM8,MSO,MT,46.87722,113.93139,3198
AGNO3,MFR,OR,42.58056,124.05833,113
AGSO3,MFR,OR,42.52083,124.04306,200
ALBO3,PQR,OR,44.63889,123.10556,167
ALFW1,OTX,WA,48.17889,116.99972,2050
ALFW1N,Unk,WA,48.18333,117.03333,2050
ALPW4,RIW,WY,43.19611,110.88944,5684
ALRW1,SEW,WA,46.8025,122.31028,1210
AMFI1,PIH,ID,42.76833,112.87833,4212
ANAW1,PDT,WA,46.09722,116.97667,807
ANTI1,PIH,ID,43.96694,111.6725,4951
APLO3,MFR,OR,42.057,123.108,1990
APRO3,MFR,OR,42.25,123.13333,1285
ARAI1,BOI,ID,43.35861,115.44583,3880
ARDQ2,OTX,BC,49.33333,117.76667,1420
ARDQ2N,Unk,BC,49.33333,117.76667,1562
ARDW1,OTX,WA,47.81861,120.42194,1561
ARGW1,SEW,WA,48.26167,122.04639,89
ARKI1,BOI,ID,43.61111,115.92194,3275
ARLW1,SEW,WA,48.20361,122.12806,65
ARWO3,MFR,OR,42.35,123.4,950
ASCW1,OTX,WA,46.27361,117.29139,1810
AUBW1,SEW,WA,47.3125,122.20278,70
AURO3,PQR,OR,45.23361,122.75028,72
AZAO3,MFR,OR,42.825,123.17778,1694
BCDW1,SEW,WA,46.77222,122.92306,195
BDDI1,BOI,ID,43.53333,116.08333,2800
BEAO3,PQR,OR,45.26667,123.84583,43
BELM8,MSO,MT,46.86917,114.12583,3084
BEUO3,BOI,OR,43.90778,118.15222,3270
BFKW4,RIW,WY,43.83806,110.44083,6773
BFTI1,PIH,ID,43.14194,112.51833,4400
BIGI1,BOI,ID,43.66056,116.27917,2600
BIRQ2,CAN,BC,49.17778,117.71639,1329
BITM8,MSO,MT,46.83194,114.05306,3110
BLUO3,PQR,OR,44.1625,122.32917,1357
BONM8,MSO,MT,46.89972,113.75556,3345
BONO3,PQR,OR,45.63333,121.95917,62
BRDQ2,Unk,BC,49.33333,117.61667,1400
BRFI1,BOI,ID,43.49444,115.30556,4220
BRNI1,BOI,ID,44.83333,116.86667,1844
BTSI1,BOI,ID,43.65917,115.72611,3256
BULO3,BOI,OR,44.03056,117.4125,2500
BUMW1,PDT,WA,46.88333,121.28333,3441
BUSO3,BOI,OR,43.71528,119.17639,4195
CABI1,OTX,ID,48.08333,116.06667,2260
CALW1,SEW,WA,47.96028,124.39167,210
CAMI1,BOI,ID,44.57972,116.63889,2660
CANO3,PQR,OR,45.24444,122.68611,94
CASW1,PQR,WA,46.275,122.91333,20
CENW1,SEW,WA,46.7125,122.9775,185
CFMM8,MSO,MT,48.36194,114.18389,2978
CGMW1,SEW,WA,46.77611,123.03444,124
CGRO3,PQR,OR,44.13611,122.24722,1262
CHDW1,OTX,WA,47.83639,120.06028,995
CHEI1,PIH,ID,44.01667,111.56667,5052
CHJW1,OTX,WA,47.99278,119.65333,820
CHTO3,MFR,OR,42.12361,124.18611,50
CIYW1,SEW,WA,46.44389,121.84111,1260
CLDI1,OTX,ID,47.27472,116.18806,2096
CLEW1,PDT,WA,47.25,121.06667,2240
CLFW1,PDT,WA,46.90056,121.01806,2280
COCO3,PQR,OR,45.37944,122.57611,15
COEI1,OTX,ID,47.66611,116.77056,2160
COKW1,SEW,WA,46.46611,122.11806,780
CONW1,SEW,WA,48.52444,121.76972,130
CORO3,PQR,OR,44.56639,123.25681,192
COTO3,PQR,OR,43.72,123.05,800
CRNW1,SEW,WA,47.66611,121.92417,60
CRPW1,SEW,WA,46.93944,123.31306,24
CSCI1,BOI,ID,44.51667,116.05,4828
CSHW1,SEW,WA,47.42389,123.21972,760
CTAW1,SEW,WA,46.73111,122.95278,100
CTLI1,OTX,ID,47.555,116.32444,2100
CWMO3,MFR,OR,42.73,123.45,1010
DARM8,MSO,MT,45.97222,114.14056,3942
DCDQ2,CAN,BC,50.25,116.97,1801
DEEO3,MFR,OR,43.22,123.27,690
DETO3,PQR,OR,44.72222,122.24861,1570
DGGI1,PIH,ID,43.78167,111.20833,5953
DLGM8,MSO,MT,46.39778,112.74194,4500
DLLO3,PQR,OR,45.475,123.12306,147
DONO3,BOI,OR,42.78333,118.86667,4260
DORO3,PQR,OR,43.79306,122.99028,820
DOTW1,SEW,WA,46.6175,123.27639,302
DRBI1,BOI,ID,44.29167,115.6425,5192
DRMM8,MSO,MT,46.71222,113.33,3379
DRSW1,SEW,WA,48.01444,123.13139,569
DSRW1,SEW,WA,46.85222,122.6675,349
DWRI1,MSO,ID,46.5149,116.29681,995
EASI1,OTX,ID,48.99917,116.17972,2620
EASW1,PDT,WA,47.23889,121.17778,2135
ECDO3,MFR,OR,43.63,123.28,689
EGCO3,PDT,OR,44.88056,117.25278,2800
EGLO3,MFR,OR,42.52583,122.86056,1270
EKTO3,MFR,OR,43.58611,123.55417,90
ELKO3,MFR,OR,42.675,122.74389,1455
ELWW1,SEW,WA,48.055,123.58194,200
EMMI1,BOI,ID,43.93056,116.44167,2400
ENVI1,OTX,ID,47.56889,116.25333,2100
ESSM8,MSO,MT,48.275,113.60278,3727
ESTO3,PQR,OR,45.3,122.35278,297
EUGO3,PQR,OR,44.05,123.08333,390
FALO3,PQR,OR,43.94444,122.77361,834
FCFM8,MSO,MT,48.49556,114.12667,3145
FFXW1,SEW,WA,47.03333,122.03333,1213
FISM8,MSO,MT,48.35556,115.31389,2134
FLGW4,RIW,WY,44.09889,110.66722,6802
FOSO3,PQR,OR,44.41667,122.66944,550
FRMO3,PQR,OR,45.44722,122.94944,100
FRNO3,PQR,OR,44.12361,123.29861,374
FRYW1,OTX,WA,48.98139,118.76528,1837
FSSO3,PQR,OR,45.70417,123.75417,33
GARW1,SEW,WA,47.41667,121.58333,1448
GCDW1,OTX,WA,47.96667,118.98333,1700
GFLW1,SEW,WA,48.10389,121.94556,310
GIBO3,PDT,OR,45.71972,118.32222,1855
GLBW1,SEW,WA,47.83556,121.66,209
GORW1,SEW,WA,48.66667,121.25,402
GOSO3,PQR,OR,43.98056,122.96528,474
GPRO3,PQR,OR,44.45417,122.55,1015
GRAO3,MFR,OR,42.43056,123.31667,880
GREW4,RIW,WY,43.14278,110.97667,5720
GVZW4,RIW,WY,43.5572,110.76277,6260
HAGW1,OTX,WA,47.64917,117.455,1717
HALI1,PIH,ID,43.51722,114.32056,5295
HARO3,PQR,OR,44.27056,123.1725,288
HCDI1,PDT,ID,45.25139,116.69722,1400
HCRO3,PQR,OR,43.72222,122.4375,1544
HEII1,PIH,ID,43.6125,111.66,5015
HHDW1,SEW,WA,47.28333,121.78333,1206
HHWM8,MSO,MT,48.34111,114.01333,3560
HLKW1,PDT,WA,47.12417,120.73917,1700
HODO3,PQR,OR,45.65472,121.54944,383
HOPW1,OTX,WA,46.76667,118.15,1041
HOTI1,BOI,ID,42.77111,115.72028,2599
HRSI1,BOI,ID,43.9425,116.19583,2626
HWRI1,PIH,ID,43.99833,114.02111,6622
IHDW1,PDT,WA,46.25,118.86667,368
IMNO3,PDT,OR,45.56222,116.83306,1968
ISLI1,PIH,ID,44.4,111.38333,6225
ISSW1,SEW,WA,47.55,122.05,36
JASO3,PQR,OR,43.99861,122.90556,513
JDAO3,PDT,OR,45.71667,120.7,268
JFFO3,PQR,OR,44.71528,123.01111,220
JHNO3,PDT,OR,44.41861,118.90583,3131
JKSW4,RIW,WY,43.372,110.73861,5950
JLKW4,RIW,WY,43.8583,110.58583,6728
KACW1,PDT,WA,47.26139,121.20222,2269
KEEW1,PDT,WA,47.31667,121.33333,2479
KERM8,MSO,MT,47.6775,114.24194,2730
KERM8N,MSO,MT,47.6775,114.24194,2730
KIOW1,PDT,WA,46.25333,119.47722,454
KRBO3,MFR,OR,42.23222,123.66417,1210
KTFW1,OTX,WA,48.6,118.06667,1400
LAUW1,OTX,WA,48.98444,118.21528,1426
LEOI1,OTX,ID,48.61778,116.04639,1790
LERI1,MSO,ID,44.94,113.63778,4960
LGDW1,OTX,WA,46.7,117.43333,738
LGNO3,PDT,OR,45.35444,118.19139,2950
LGSW1,Unk,WA,46.6,117.96667,702
LLKW1,OTX,WA,47.83667,117.84028,1299
LMNW1,Unk,WA,46.58333,118.54,459
LNDW1,SEW,WA,47.4,121.95,566
LOCI1,MSO,ID,46.15056,115.58639,1453
LOPO3,PQR,OR,43.91389,122.75,712
LOSO3,MFR,OR,42.67222,122.675,1580
LSDW1,OTX,WA,47.78472,117.40333,1590
LSMO3,PQR,OR,44.7917,122.5778,655
LSTO3,PDT,OR,45.43889,117.42639,3650
LUCI1,BOI,ID,43.52528,116.05417,2840
LYDM8,MSO,MT,48.46667,115.31667,2459
MACI1,PIH,ID,43.95139,113.67444,5946
MADO3,BOI,OR,43.78472,118.33056,3479
MAGI1,PIH,ID,43.25139,114.37083,4665
MCDQ2,CAN,BC,52.05,118.58333,2475
MCDW1,PDT,OR,45.94056,119.29778,361
MCKO3,PDT,OR,45.60944,118.79861,1163
MCLO3,MFR,OR,42.65,122.71667,1489
MCMO3,PQR,OR,45.20583,123.18139,62
MCMW1,SEW,WA,46.73333,122.15,1340
MCZO3,PQR,OR,44.07028,122.77,600
MEHO3,PQR,OR,44.78889,122.61667,602
MEWW1,PQR,WA,45.95472,122.56389,240
MFDO3,MFR,OR,42.33333,122.86667,1342
MFNW1,SEW,WA,48.77917,122.10556,580
MFPI1,BOI,ID,44.11389,115.97222,3040
MIDI1,BOI,ID,44.71833,115.01472,4480
MILI1,BOI,ID,42.52528,114.01778,4063
MKNW1,SEW,WA,46.93333,122.56667,285
MLBO3,MFR,OR,42.65,122.68333,1526
MLKW1,PDT,WA,46.00806,118.1175,1996
MMRW1,SEW,WA,47.14083,121.93,1330
MNRO3,PQR,OR,44.31306,123.29528,271
MNSW1,SEW,WA,47.01167,123.65417,40
MODO3,PDT,OR,45.6167,120.9,167
MONO3,PDT,OR,44.815,119.43056,1960
MORI1,BOI,ID,43.65,115.98333,3120
MORW1,SEW,WA,47.40944,121.72278,1560
MPLO3,PQR,OR,44.0625,123.88194,41
MROW1,SEW,WA,47.83028,122.04861,13
MSRW1,SEW,WA,46.53528,122.42361,679
MVEW1,SEW,WA,48.45,122.33333,0
MYDW1,PQR,WA,46.5,122.58333,280
MYNO3,MFR,OR,43.06818,124.10784,2
MYPO3,MFR,OR,43.06567,124.14705,60
NACW1,PDT,WA,46.74667,120.76806,1550
NASW1,PQR,WA,46.37417,123.74222,24
NEWW1,SEW,WA,46.62028,122.94389,190
NFFQ2,MSO,BC,49.00167,114.47417,3968
NFNW1,SEW,WA,48.9,121.85,1245
NISW1,SEW,WA,46.75278,122.0825,1450
NITW1,OTX,WA,48.98472,119.61917,1138
NKSW1,SEW,WA,48.85,122.58333,5
NOXM8,MSO,MT,47.96667,115.73333,2270
NRKW1,SEW,WA,48.84194,122.29306,0
NSPW1,SEW,WA,47.33,123.24194,63
NSSW1,SEW,WA,48.6778,122.1653,380
OCHO3,PDT,OR,44.29944,120.72639,3057
OCUO3,PQR,OR,45.3481,122.6211,50
OKMW1,OTX,WA,48.28056,119.70306,783
OKNW1,OTX,WA,48.93333,119.41667,900
ORFI1,MSO,ID,46.47861,116.25639,991
ORTW1,SEW,WA,47.03944,122.20667,353
OWYO3,BOI,OR,43.64944,117.24694,2400
PACW1,SEW,WA,46.61667,121.68333,1048
PACW4,RIW,WY,43.85,110.53333,6720
PALI1,PIH,ID,43.35,111.2175,5353
PARI1,BOI,ID,43.78333,116.96667,2196
PARW1,PDT,WA,46.49677,120.44144,889
PATW1,OTX,WA,48.07306,119.99083,900
PDTO3,PDT,OR,45.6711,118.7919,1050
PERM8,MSO,MT,47.3675,114.58417,2569
PESW1,OTX,WA,47.58444,120.62,1028
PHIO3,PQR,OR,44.52639,123.33333,224
PHLO3,BOI,OR,44.67194,117.99417,3900
PIHI1,PIH,ID,42.87167,112.46806,4420
PILW1,SEW,WA,47.935,122.07194,0
PINI1,BOI,ID,47.51389,116.24083,2190
PITW1,PDT,WA,45.75667,121.20889,289
PLNM8,MSO,MT,47.42972,114.855,2449
PLOI1,OTX,ID,46.91528,116.95,2455
POBM8,MSO,MT,48.78306,114.28194,3534
POWO3,MFR,OR,42.89167,124.06944,220
PRCI1,OTX,ID,47.70722,115.97667,2485
PRCM8,MSO,MT,47.58611,115.35417,2382
PRII1,OTX,ID,46.49861,116.76194,0
PRLI1,BOI,ID,44.08528,115.62111,3790
PRPI1,BOI,ID,44.0425,116.92417,2138
PRTI1,OTX,ID,48.20861,116.91361,2090
PRVO3,PDT,OR,44.11389,120.79444,3071
PRWW1,OTX,WA,46.64639,119.90639,460
PULW1,OTX,WA,46.7325,117.18,2326
PUYW1,SEW,WA,47.21667,122.33333,50
PWDO3,BOI,OR,44.76833,117.83056,3440
QBYQ2,CAN,BC,49.65,116.93333,1800
QBYQ2N,Unk,BC,49.65,116.93333,1800
RAWW1,SEW,WA,46.5325,121.95556,890
RCCM8,MSO,MT,46.7225,113.68222,3519
RDLO3,MFR,OR,42.92417,123.42917,723
REVQ2,CAN,BC,50.98333,118.21667,1880
REXI1,PIH,ID,43.82583,111.905,4806
RIGI1,MSO,ID,45.41306,116.32472,1760
RIMW1,PDT,WA,46.66667,121.11667,2926
RIRI1,PIH,ID,43.583,111.74583,4940
RISW1,OTX,WA,47.3325,120.08,609
RNTW1,SEW,WA,47.48333,122.2,15
RODW1,SEW,WA,48.73333,121.06667,1605
RRHW1,OTX,WA,47.52444,120.30111,703
RSBO3,MFR,OR,43.21194,123.38361,414
RYGO3,MFR,OR,42.4375,122.98611,1122
SAKW1,SEW,WA,48.42472,121.56722,266
SALW4,RIW,WY,43.0797,111.0372,5676
SATI1,OTX,ID,47.17639,116.49167,2172
SATW1,SEW,WA,47.00083,123.49361,21
SCOO3,PQR,OR,45.46944,123.19889,157
SCRO3,MFR,OR,43.35,122.72778,1129
SELI1,MSO,ID,46.08667,115.51278,1540
SERO3,PDT,OR,44.79389,120.00556,1632
SFLN2,PIH,NV,41.94444,114.6875,0
SHDW1,SEW,WA,48.5475,121.74111,156
SHYI1,PIH,ID,43.41306,112.135,4599
SIFI1,PIH,ID,43.60472,112.05861,4730
SILO3,PQR,OR,44.71528,123.88611,102
SKOW1,SEW,WA,47.51444,123.32861,762
SLCQ2,CAN,BC,49.46667,117.56667,1499
SLKW1,SEW,WA,47.97444,121.68611,1370
SLMO3,PQR,OR,44.94444,123.04167,106
SLTW1,SEW,WA,47.9075,121.81417,290
SMKQ2,CAN,BC,49.38333,120.15,0
SMNI1,MSO,ID,45.18333,113.89444,3911
SMRW1,SEW,WA,48.54611,122.33694,0
SNAI1,PIH,ID,43.1975,112.36917,4490
SNDO3,PQR,OR,45.44917,122.24389,240
SNQW1,SEW,WA,47.61667,121.71667,1130
SNYI1,BOI,ID,43.87611,116.98139,5170
SPDI1,OTX,ID,46.44861,116.82583,770
SPEW1,SEW,WA,47.13333,122.08333,430
SPOW1,OTX,WA,47.65944,117.44806,1696
SPRO3,PQR,OR,44.09278,122.95556,442
SQUW1,SEW,WA,47.54528,121.84111,120
SRGM8,MSO,MT,47.30194,115.08639,2600
SRLM8,MSO,MT,48.2175,114.31222,2953
SRMO3,PQR,OR,45.39167,122.12778,730
SRMW1,SEW,WA,48.53333,121.43333,305
SSUW1,SEW,WA,47.34056,123.27889,103
STHW1,OTX,WA,48.32972,120.69056,1099
STII1,BOI,ID,46.08667,115.97556,1300
STRM8,MSO,MT,47.29694,115.12167,2645
SURO3,MFR,OR,42.95222,123.33333,850
SUVO3,PQR,OR,44.78194,123.235,172
SWAI1,BOI,ID,43.29194,116.42,2271
SWRM8,MSO,MT,48.02444,113.97889,3063
SYCO3,PQR,OR,45.47778,122.50667,228
TANW1,SEW,WA,47.48333,121.65,780
TCHW1,PDT,WA,46.03333,118.73333,405
TDAO3,PDT,OR,45.6,121.16667,80
TEAI1,PIH,ID,43.92722,111.61528,4970
THNW1,SEW,WA,48.67278,121.07167,1220
THRM8,MSO,MT,47.59194,115.22861,2429
TIDO3,PQR,OR,44.38611,123.83056,48
TILO3,MFR,OR,42.93,122.94667,1040
TILW1,SEW,WA,46.6,122.46667,600
TLMO3,PQR,OR,45.4759,123.725,42
TLRW1,SEW,WA,47.69389,121.78611,1765
TLYO3,PQR,OR,45.125,122.07222,1120
TNAW1,PDT,WA,47.24639,120.86111,2300
TOLW1,SEW,WA,47.7,121.81667,348
TONW1,OTX,WA,48.6325,119.45778,861
TOPI1,PIH,ID,42.625,112.088,4918
TOTW1,PQR,WA,46.33389,122.83889,170
TRAO3,PQR,OR,45.44639,123.70917,50
TRBO3,PQR,OR,44.26806,122.04861,1980
TRSO3,PQR,OR,44.71222,122.76833,380
TRYM8,MSO,MT,48.56194,115.96917,1839
TRYO3,PDT,OR,45.94583,117.45,1586
UBDW1,SEW,WA,48.64889,121.69083,393
UMAO3,PDT,OR,45.90306,119.32583,330
UMTW1,PDT,WA,46.86278,120.47889,1300
UNDW1,PDT,WA,45.75,121.53333,113
UNYO3,PDT,OR,44.50389,118.17639,3758
VALO3,BOI,OR,43.98889,117.21944,2220
VICM8,MSO,MT,46.44333,114.12278,3330
VIDO3,PQR,OR,44.13333,122.46667,856
WANQ2,CAN,BC,49,117.61667,1870
WANW1,OTX,WA,46.87333,119.97194,570
WARO3,BOI,OR,43.56667,118.2,3305
WCHW1,SEW,WA,48.16667,121.46667,930
WDHN2,LKN,NV,41.6875,115.84361,6130
WEII1,BOI,ID,44.24556,116.98,2086
WELW1,OTX,WA,47.95,119.86667,781
WFBM8,MSO,MT,45.725,114.28056,4581
WFRM8,MSO,MT,48.22667,114.29139,2901
WGCM8,MSO,MT,48.49528,114.00917,3129
WHBI1,MSO,ID,45.75028,116.32306,1413
WHRM8,MSO,MT,48.3201,114.2785,2970
WILW1,PQR,WA,46.65,123.65,4
WLAO3,PQR,OR,45.04722,123.50278,236
WLDN2,LKN,NV,41.68889,115.84389,6130
WLSO3,PQR,OR,45.29583,122.775,50
WNRO3,MFR,OR,43.26806,123.40917,372
WODI1,PIH,ID,43.38889,114,4991
WRAW1,SEW,WA,47.27497,122.20665,115
WSLO3,PQR,OR,45.35056,122.67556,85
WSNO3,MFR,OR,43.13389,123.3975,463
WSRI1,BOI,ID,44.2675,116.77111,2206
WTHW1,OTX,WA,48.46667,120.16667,1718
WTLO3,PQR,OR,44.49861,122.82222,370
WYDW1,SEW,WA,47.38556,123.60444,810
